dteventtime,哪队赢,gametime,击杀,死亡,助攻,赢输,MVP,FMVP,英雄ID,队伍,几排,mapName,detailUrl,pvpType,branchEvaluate,巅峰赛原积分,巅峰赛新积分,三杀,游戏时间,超神,一血,段位,段位星星,评价,analyseUrl,battleDetailUrl,evaluateUrl,英雄头像
1593875870,1,2020/7/4 23:07,0,4,2,2,0,0,111,2,1,巅峰赛,https://h5.kohsocialapp.qq.com/app/wzry/zj_detail?gameSvrId=597741&relaySvrId=-519110397&gameseq=1593875060&pvptype=5,5,0,1243,1227,0,608,0,0,最强王者,1,,https://camp.qq.com/h5/webdist/team-analyzev2.html?gameseq=1593875060&relaysvrentity=-519110397&gamesvrentity=597741&playerid=242079734&roleName=清兵啊别打团&sonic_remain_params=gameseq;relaysvrentity;gamesvrentity&uniqueRoleId=2386193908&roleId=242079734,smobagamehelper://hippy?modulename=battledetail&toGameOpenId=owanlsjhh7xRwCKkzW6G_F7fqKIs&toServerId=3232&toAreaId=3&toAppRoleId=2386193908&toGameRoleId=242079734&gameSvrId=597741&relaySvrId=-519110397&gameSeq=1593875060&pvpType=5&acntCamp=2&battleType=32,,http://shp.qpic.cn/tgos/292/5a7c4668dd5ee3b6117ac738d543d4ad/0
1593874802,1,2020/7/4 22:37,2,3,22,1,0,0,171,1,1,巅峰赛,https://h5.kohsocialapp.qq.com/app/wzry/zj_detail?gameSvrId=596200&relaySvrId=-1509096957&gameseq=1593873212&pvptype=5,5,0,1223,1243,0,1373,0,0,最强王者,1,,https://camp.qq.com/h5/webdist/team-analyzev2.html?gameseq=1593873212&relaysvrentity=-1509096957&gamesvrentity=596200&playerid=242079734&roleName=清兵啊别打团&sonic_remain_params=gameseq;relaysvrentity;gamesvrentity&uniqueRoleId=2386193908&roleId=242079734,smobagamehelper://hippy?modulename=battledetail&toGameOpenId=owanlsjhh7xRwCKkzW6G_F7fqKIs&toServerId=3232&toAreaId=3&toAppRoleId=2386193908&toGameRoleId=242079734&gameSvrId=596200&relaySvrId=-1509096957&gameSeq=1593873212&pvpType=5&acntCamp=1&battleType=32,,http://shp.qpic.cn/tgos/8433/28ea4aa382bda7aafb1d85887854e253/0
1593873039,1,2020/7/4 22:18,4,2,11,1,0,0,171,1,1,巅峰赛,https://h5.kohsocialapp.qq.com/app/wzry/zj_detail?gameSvrId=596275&relaySvrId=-1206910461&gameseq=1593872109&pvptype=5,5,0,1200,1223,0,725,0,0,最强王者,1,躺赢局,https://camp.qq.com/h5/webdist/team-analyzev2.html?gameseq=1593872109&relaysvrentity=-1206910461&gamesvrentity=596275&playerid=242079734&roleName=清兵啊别打团&sonic_remain_params=gameseq;relaysvrentity;gamesvrentity&uniqueRoleId=2386193908&roleId=242079734,smobagamehelper://hippy?modulename=battledetail&toGameOpenId=owanlsjhh7xRwCKkzW6G_F7fqKIs&toServerId=3232&toAreaId=3&toAppRoleId=2386193908&toGameRoleId=242079734&gameSvrId=596275&relaySvrId=-1206910461&gameSeq=1593872109&pvpType=5&acntCamp=1&battleType=32,,http://shp.qpic.cn/tgos/8433/28ea4aa382bda7aafb1d85887854e253/0
1593857428,3,2020/7/4 18:02,6,3,10,2,0,0,113,2,2,五军对决,https://h5.kohsocialapp.qq.com/app/wzry/zj_detail?gameSvrId=593194&relaySvrId=1158480131&gameseq=1593856827&pvptype=5,5,0,1200,1200,0,482,0,0,最强王者,1,,,smobagamehelper://hippy?modulename=battledetail&toGameOpenId=owanlsjhh7xRwCKkzW6G_F7fqKIs&toServerId=3232&toAreaId=3&toAppRoleId=2386193908&toGameRoleId=242079734&gameSvrId=593194&relaySvrId=1158480131&gameSeq=1593856827&pvpType=5&acntCamp=2&battleType=30,,http://shp.qpic.cn/tgos/8970/a09676f77fcebee915bc08182979ceb8/0
1593856783,5,2020/7/4 17:51,6,1,21,1,0,0,171,5,2,五军对决,https://h5.kohsocialapp.qq.com/app/wzry/zj_detail?gameSvrId=594691&relaySvrId=-1475542525&gameseq=1593856184&pvptype=5,5,0,1200,1200,0,481,0,0,最强王者,1,,,smobagamehelper://hippy?modulename=battledetail&toGameOpenId=owanlsjhh7xRwCKkzW6G_F7fqKIs&toServerId=3232&toAreaId=3&toAppRoleId=2386193908&toGameRoleId=242079734&gameSvrId=594691&relaySvrId=-1475542525&gameSeq=1593856184&pvpType=5&acntCamp=5&battleType=30,,http://shp.qpic.cn/tgos/8433/28ea4aa382bda7aafb1d85887854e253/0
1593856126,2,2020/7/4 17:40,5,6,8,2,0,0,157,5,2,五军对决,https://h5.kohsocialapp.qq.com/app/wzry/zj_detail?gameSvrId=594762&relaySvrId=-1794113021&gameseq=1593855535&pvptype=5,5,0,1200,1200,0,482,0,0,最强王者,1,,,smobagamehelper://hippy?modulename=battledetail&toGameOpenId=owanlsjhh7xRwCKkzW6G_F7fqKIs&toServerId=3232&toAreaId=3&toAppRoleId=2386193908&toGameRoleId=242079734&gameSvrId=594762&relaySvrId=-1794113021&gameSeq=1593855535&pvpType=5&acntCamp=5&battleType=30,,http://shp.qpic.cn/tgos/201703m3/93724f86972a048dd79a1bd63e45d5e8/0
1593855486,3,2020/7/4 17:30,1,4,10,2,0,0,198,4,2,五军对决,https://h5.kohsocialapp.qq.com/app/wzry/zj_detail?gameSvrId=594052&relaySvrId=-1391525629&gameseq=1593854879&pvptype=5,5,0,1200,1200,0,482,0,0,最强王者,1,,,smobagamehelper://hippy?modulename=battledetail&toGameOpenId=owanlsjhh7xRwCKkzW6G_F7fqKIs&toServerId=3232&toAreaId=3&toAppRoleId=2386193908&toGameRoleId=242079734&gameSvrId=594052&relaySvrId=-1391525629&gameSeq=1593854879&pvpType=5&acntCamp=4&battleType=30,,http://shp.qpic.cn/tgos/16628/4ab702de3b7bcc457f1ac05bbd98ef8a/0
1593854802,5,2020/7/4 17:18,5,5,12,1,0,0,198,5,2,五军对决,https://h5.kohsocialapp.qq.com/app/wzry/zj_detail?gameSvrId=593596&relaySvrId=-1894841597&gameseq=1593854184&pvptype=5,5,0,1200,1200,0,481,0,0,最强王者,1,,,smobagamehelper://hippy?modulename=battledetail&toGameOpenId=owanlsjhh7xRwCKkzW6G_F7fqKIs&toServerId=3232&toAreaId=3&toAppRoleId=2386193908&toGameRoleId=242079734&gameSvrId=593596&relaySvrId=-1894841597&gameSeq=1593854184&pvpType=5&acntCamp=5&battleType=30,,http://shp.qpic.cn/tgos/16628/4ab702de3b7bcc457f1ac05bbd98ef8a/0
1593854129,1,2020/7/4 17:07,2,4,11,2,0,0,171,2,2,五军对决,https://h5.kohsocialapp.qq.com/app/wzry/zj_detail?gameSvrId=594882&relaySvrId=856490755&gameseq=1593853503&pvptype=5,5,0,1200,1200,0,485,0,0,最强王者,1,,,smobagamehelper://hippy?modulename=battledetail&toGameOpenId=owanlsjhh7xRwCKkzW6G_F7fqKIs&toServerId=3232&toAreaId=3&toAppRoleId=2386193908&toGameRoleId=242079734&gameSvrId=594882&relaySvrId=856490755&gameSeq=1593853503&pvpType=5&acntCamp=2&battleType=30,,http://shp.qpic.cn/tgos/8433/28ea4aa382bda7aafb1d85887854e253/0
1593853447,1,2020/7/4 16:56,1,1,20,1,0,0,171,1,2,五军对决,https://h5.kohsocialapp.qq.com/app/wzry/zj_detail?gameSvrId=593304&relaySvrId=-1005583613&gameseq=1593852842&pvptype=5,5,0,1200,1200,0,482,0,0,最强王者,1,,,smobagamehelper://hippy?modulename=battledetail&toGameOpenId=owanlsjhh7xRwCKkzW6G_F7fqKIs&toServerId=3232&toAreaId=3&toAppRoleId=2386193908&toGameRoleId=242079734&gameSvrId=593304&relaySvrId=-1005583613&gameSeq=1593852842&pvpType=5&acntCamp=1&battleType=30,,http://shp.qpic.cn/tgos/8433/28ea4aa382bda7aafb1d85887854e253/0
1593852783,1,2020/7/4 16:45,5,2,13,1,0,0,114,1,2,五军对决,https://h5.kohsocialapp.qq.com/app/wzry/zj_detail?gameSvrId=593349&relaySvrId=722404355&gameseq=1593852164&pvptype=5,5,0,1200,1200,0,481,0,0,最强王者,1,,,smobagamehelper://hippy?modulename=battledetail&toGameOpenId=owanlsjhh7xRwCKkzW6G_F7fqKIs&toServerId=3232&toAreaId=3&toAppRoleId=2386193908&toGameRoleId=242079734&gameSvrId=593349&relaySvrId=722404355&gameSeq=1593852164&pvpType=5&acntCamp=1&battleType=30,,http://shp.qpic.cn/tgos/5826/dcfd6b775be0c688912c2a7c8d92d4df/0
1593852120,5,2020/7/4 16:33,7,6,3,1,0,0,121,5,2,五军对决,https://h5.kohsocialapp.qq.com/app/wzry/zj_detail?gameSvrId=594076&relaySvrId=453837315&gameseq=1593851502&pvptype=5,5,0,1200,1200,0,486,0,0,最强王者,1,,,smobagamehelper://hippy?modulename=battledetail&toGameOpenId=owanlsjhh7xRwCKkzW6G_F7fqKIs&toServerId=3232&toAreaId=3&toAppRoleId=2386193908&toGameRoleId=242079734&gameSvrId=594076&relaySvrId=453837315&gameSeq=1593851502&pvpType=5&acntCamp=5&battleType=30,,http://shp.qpic.cn/tgos/7435/674bb301a917af4da489a4ac1323cbc0/0
1593851439,2,2020/7/4 16:22,3,3,14,1,0,0,171,2,2,五军对决,https://h5.kohsocialapp.qq.com/app/wzry/zj_detail?gameSvrId=594488&relaySvrId=705691907&gameseq=1593850847&pvptype=5,5,0,1200,1200,0,481,0,0,最强王者,1,,,smobagamehelper://hippy?modulename=battledetail&toGameOpenId=owanlsjhh7xRwCKkzW6G_F7fqKIs&toServerId=3232&toAreaId=3&toAppRoleId=2386193908&toGameRoleId=242079734&gameSvrId=594488&relaySvrId=705691907&gameSeq=1593850847&pvpType=5&acntCamp=2&battleType=30,,http://shp.qpic.cn/tgos/8433/28ea4aa382bda7aafb1d85887854e253/0
1593850808,3,2020/7/4 16:12,12,7,2,2,0,0,174,1,2,五军对决,https://h5.kohsocialapp.qq.com/app/wzry/zj_detail?gameSvrId=593572&relaySvrId=-1844575741&gameseq=1593850182&pvptype=5,5,0,1200,1200,0,485,0,0,最强王者,1,,,smobagamehelper://hippy?modulename=battledetail&toGameOpenId=owanlsjhh7xRwCKkzW6G_F7fqKIs&toServerId=3232&toAreaId=3&toAppRoleId=2386193908&toGameRoleId=242079734&gameSvrId=593572&relaySvrId=-1844575741&gameSeq=1593850182&pvpType=5&acntCamp=1&battleType=30,,http://shp.qpic.cn/tgos/201703m3/ee7ca62e1ccf6fb7c563b3fdd46b2b97/0
1593850119,2,2020/7/4 16:00,17,6,9,1,0,0,112,2,2,五军对决,,5,0,1200,1200,0,481,0,0,最强王者,1,,,,,http://shp.qpic.cn/tgos/9359/35a176e7df643f93380bff40a4d0dd1f/0
1593849478,1,2020/7/4 15:49,3,1,22,1,0,0,171,1,2,五军对决,,5,0,1200,1200,0,482,0,0,最强王者,1,,,,,http://shp.qpic.cn/tgos/8433/28ea4aa382bda7aafb1d85887854e253/0
1593848834,5,2020/7/4 15:39,9,1,25,1,0,0,171,5,2,五军对决,,5,0,1200,1200,0,481,0,0,最强王者,1,,,,,http://shp.qpic.cn/tgos/8433/28ea4aa382bda7aafb1d85887854e253/0
